time,count
249057778.183,1695.0
249057778.383,1680.0
249057778.583,1710.0
249057778.783,1725.0
249057778.983,1815.0
249057779.183,1655.0
249057779.383,1880.0
249057779.583,1635.0
249057779.783,1815.0
249057779.983,1820.0
249057780.183,1935.0
249057780.383,1695.0
249057780.583,1650.0
249057780.783,1635.0
249057780.983,1785.0
249057781.183,1655.0
249057781.383,1785.0
249057781.583,1835.0
249057781.783,1855.0
249057781.983,1700.0
249057782.183,1860.0
249057782.383,1910.0
249057782.583,1710.0
249057782.783,1745.0
249057782.983,1705.0
249057783.183,1700.0
249057783.383,1740.0
249057783.583,1805.0
249057783.783,1730.0
249057783.983,1690.0
249057784.183,1710.0
249057784.383,1670.0
249057784.583,1630.0
249057784.783,1855.0
249057784.983,1785.0
249057785.183,1825.0
249057785.383,1885.0
249057785.583,1615.0
249057785.783,1755.0
249057785.983,1695.0
249057786.183,1855.0
249057786.383,1785.0
249057786.583,1820.0
249057786.783,1820.0
249057786.983,1755.0
249057787.183,1790.0
249057787.383,1810.0
249057787.583,1640.0
249057787.783,1715.0
249057787.983,1665.0
249057788.183,1640.0
249057788.383,1880.0
249057788.583,1765.0
249057788.783,1895.0
249057788.983,1765.0
249057789.183,1700.0
249057789.383,1830.0
249057789.583,1725.0
249057789.783,1750.0
249057789.983,1670.0
249057790.183,1800.0
249057790.383,1850.0
249057790.583,1800.0
249057790.783,1675.0
249057790.983,1650.0
249057791.183,1825.0
249057791.383,1760.0
249057791.583,1875.0
249057791.783,1780.0
249057791.983,1660.0
249057792.183,1785.0
249057792.383,1785.0
249057792.583,1600.0
249057792.783,1945.0
249057792.983,1710.0
249057793.183,1700.0
249057793.383,1730.0
249057793.583,1760.0
249057793.783,1680.0
249057793.983,1920.0
249057794.183,1760.0
249057794.383,1710.0
249057794.583,1745.0
249057794.783,1780.0
249057794.983,1750.0
249057795.183,1890.0
249057795.383,1810.0
249057795.583,1830.0
249057795.783,1650.0
249057795.983,1845.0
249057796.183,1765.0
249057796.383,1740.0
249057796.583,1840.0
249057796.783,1775.0
249057796.983,1920.0
249057797.183,1780.0
249057797.383,1690.0
249057797.583,1690.0
249057797.783,2035.0
249057797.983,1650.0
249057798.183,1740.0
249057798.383,1845.0
249057798.583,1660.0
249057798.783,1695.0
249057798.983,1720.0
249057799.183,1840.0
249057799.383,1655.0
249057799.583,1740.0
249057799.783,1645.0
249057799.983,1595.0
249057800.183,1865.0
249057800.383,1770.0
249057800.583,1755.0
249057800.783,1655.0
249057800.983,1675.0
249057801.183,1720.0
249057801.383,1945.0
249057801.583,1695.0
249057801.783,1665.0
249057801.983,1765.0
249057802.183,1740.0
249057802.383,1615.0
249057802.583,1870.0
249057802.783,1780.0
249057802.983,1725.0
249057803.183,1745.0
249057803.383,1765.0
249057803.583,2015.0
249057803.783,1855.0
249057803.983,1845.0
249057804.183,1835.0
249057804.383,1770.0
249057804.583,1790.0
249057804.783,1685.0
249057804.983,1700.0
249057805.183,1720.0
249057805.383,1915.0
249057805.583,1605.0
249057805.783,1865.0
249057805.983,1530.0
249057806.183,1630.0
249057806.383,1800.0
249057806.583,1820.0
249057806.783,1765.0
249057806.983,1820.0
249057807.183,2585.0
249057807.383,1645.0
249057807.583,1860.0
249057807.783,1675.0
249057807.983,1700.0
249057808.183,1735.0
249057808.383,1655.0
249057808.583,1630.0
249057808.783,1690.0
249057808.983,1720.0
249057809.183,1625.0
249057809.383,1655.0
249057809.583,1880.0
249057809.783,1720.0
249057809.983,1760.0
249057810.183,1835.0
249057810.383,1875.0
249057810.583,1740.0
249057810.783,1580.0
249057810.983,1760.0
249057811.183,1730.0
249057811.383,1780.0
249057811.583,1740.0
249057811.783,1620.0
249057811.983,1715.0
249057812.183,1735.0
249057812.383,1965.0
249057812.583,1610.0
249057812.783,1830.0
249057812.983,1615.0
249057813.183,1935.0
249057813.383,1630.0
249057813.583,1760.0
249057813.783,1695.0
249057813.983,1590.0
249057814.183,1800.0
249057814.383,1790.0
249057814.583,1650.0
249057814.783,1845.0
249057814.983,1970.0
249057815.183,1805.0
249057815.383,1750.0
249057815.583,1855.0
249057815.783,1655.0
249057815.983,1945.0
249057816.183,1735.0
249057816.383,1615.0
249057816.583,1725.0
249057816.783,1635.0
249057816.983,1935.0
249057817.183,1635.0
249057817.383,1780.0
249057817.583,1705.0
249057817.783,1685.0
249057817.983,1660.0
249057818.183,1720.0
249057818.383,1755.0
249057818.583,1720.0
249057818.783,1675.0
249057818.983,1725.0
249057819.183,1750.0
249057819.383,1650.0
249057819.583,1915.0
249057819.783,1830.0
249057819.983,1720.0
249057820.183,1765.0
249057820.383,1820.0
249057820.583,1770.0
249057820.783,1845.0
249057820.983,1695.0
249057821.183,1625.0
249057821.383,1675.0
249057821.583,1690.0
249057821.783,1875.0
249057821.983,1880.0
249057822.183,1745.0
249057822.383,1770.0
249057822.583,1810.0
249057822.783,1735.0
249057822.983,1800.0
249057823.183,1810.0
249057823.383,1835.0
249057823.583,1810.0
249057823.783,1810.0
249057823.983,1725.0
249057824.183,1970.0
249057824.383,1775.0
249057824.583,1630.0
249057824.783,1820.0
249057824.983,1745.0
249057825.183,1780.0
249057825.383,1885.0
249057825.583,1565.0
249057825.783,1800.0
249057825.983,1910.0
249057826.183,1690.0
249057826.383,1875.0
249057826.583,1805.0
249057826.783,2035.0
249057826.983,1695.0
249057827.183,1765.0
249057827.383,1805.0
249057827.583,1700.0
249057827.783,1720.0
249057827.983,1810.0
249057828.183,1800.0
249057828.383,1785.0
249057828.583,1830.0
249057828.783,1685.0
249057828.983,1805.0
249057829.183,1940.0
249057829.383,1775.0
249057829.583,1670.0
249057829.783,1805.0
249057829.983,1635.0
249057830.183,1700.0
249057830.383,1780.0
249057830.583,1875.0
249057830.783,1725.0
249057830.983,1755.0
249057831.183,1775.0
249057831.383,1785.0
249057831.583,1985.0
249057831.783,1820.0
249057831.983,1620.0
249057832.183,1850.0
249057832.383,1905.0
249057832.583,1790.0
249057832.783,1760.0
249057832.983,1815.0
249057833.183,1860.0
249057833.383,1745.0
249057833.583,1795.0
249057833.783,1790.0
249057833.983,1940.0
249057834.183,1615.0
249057834.383,1905.0
249057834.583,1695.0
249057834.783,1840.0
249057834.983,1730.0
249057835.183,1685.0
249057835.383,1765.0
249057835.583,1575.0
249057835.783,1725.0
249057835.983,1560.0
249057836.183,1820.0
249057836.383,1770.0
249057836.583,1800.0
249057836.783,1785.0
249057836.983,1620.0
249057837.183,1860.0
249057837.383,1865.0
249057837.583,1675.0
249057837.783,1740.0
249057837.983,1760.0
249057838.183,1650.0
249057838.383,1625.0
249057838.583,1945.0
249057838.783,1770.0
249057838.983,1740.0
249057839.183,1680.0
249057839.383,1655.0
249057839.583,1795.0
249057839.783,1710.0
249057839.983,1895.0
249057840.183,1860.0
249057840.383,1980.0
249057840.583,1945.0
249057840.783,1775.0
249057840.983,1745.0
249057841.183,1775.0
249057841.383,1745.0
249057841.583,1605.0
249057841.783,1720.0
249057841.983,1590.0
249057842.183,1655.0
249057842.383,1625.0
249057842.583,1755.0
249057842.783,1665.0
249057842.983,1910.0
249057843.183,1810.0
249057843.383,1740.0
249057843.583,1890.0
249057843.783,1820.0
249057843.983,1885.0
249057844.183,1730.0
249057844.383,1795.0
249057844.583,1735.0
249057844.783,1835.0
249057844.983,1790.0
249057845.183,1885.0
249057845.383,1745.0
249057845.583,1690.0
249057845.783,1800.0
249057845.983,1805.0
249057846.183,1795.0
249057846.383,1830.0
249057846.583,1745.0
249057846.783,1760.0
249057846.983,1645.0
249057847.183,1805.0
249057847.383,1760.0
249057847.583,1700.0
249057847.783,1595.0
249057847.983,1810.0
249057848.183,1855.0
249057848.383,1770.0
249057848.583,1745.0
249057848.783,1785.0
249057848.983,1625.0
249057849.183,1870.0
249057849.383,1675.0
249057849.583,1825.0
249057849.783,1695.0
249057849.983,1730.0
249057850.183,1915.0
249057850.383,1795.0
249057850.583,1715.0
249057850.783,1895.0
249057850.983,1775.0
249057851.183,1885.0
249057851.383,1895.0
249057851.583,1850.0
249057851.783,1600.0
249057851.983,1720.0
249057852.183,1605.0
249057852.383,1805.0
249057852.583,1880.0
249057852.783,1855.0
249057852.983,1715.0
249057853.183,1685.0
249057853.383,1655.0
249057853.583,1710.0
249057853.783,1835.0
249057853.983,1770.0
249057854.183,1810.0
249057854.383,1695.0
249057854.583,1690.0
249057854.783,1885.0
249057854.983,1800.0
249057855.183,1850.0
249057855.383,1725.0
249057855.583,1770.0
249057855.783,1750.0
249057855.983,1670.0
249057856.183,1660.0
249057856.383,1630.0
249057856.583,1850.0
249057856.783,1735.0
249057856.983,1700.0
249057857.183,1900.0
249057857.383,1610.0
249057857.583,1730.0
