time,count
249057778.183,1743.0
249057780.183,1753.0
249057782.183,1759.5
249057784.183,1742.5
249057786.183,1765.5
249057788.183,1762.0
249057790.183,1767.5
249057792.183,1761.5
249057794.183,1777.0
249057796.183,1788.5
249057798.183,1713.5
249057800.183,1751.0
249057802.183,1795.5
249057804.183,1741.5
249057806.183,1830.0
249057808.183,1707.0
249057810.183,1737.5
249057812.183,1736.5
249057814.183,1806.5
249057816.183,1711.0
249057818.183,1746.0
249057820.183,1764.0
249057822.183,1785.0
249057824.183,1788.0
249057826.183,1790.0
249057828.183,1773.0
249057830.183,1782.0
249057832.183,1825.0
249057834.183,1709.5
249057836.183,1769.5
249057838.183,1746.5
249057840.183,1774.0
249057842.183,1775.5
249057844.183,1781.0
249057846.183,1744.5
249057848.183,1757.5
249057850.183,1804.5
249057852.183,1751.5
249057854.183,1764.5
249057856.183,1702.0
