time,background,180703949,170803729,140624423
0.0,105,0,0,0
0.05,106,0,0,0
0.1,100,0,0,0
0.15,94,0,0,0
0.2,101,0,0,0
0.25,95,0,0,0
0.3,108,0,0,0
0.35,97,0,0,0
0.4,104,0,0,0
0.45,104,0,0,0
0.5,93,0,0,0
0.55,98,0,0,0
0.6,109,0,0,0
0.65,104,0,0,0
0.7,82,0,0,0
0.75,97,0,0,0
0.8,105,0,0,0
0.85,103,0,0,0
0.9,101,0,0,0
0.95,100,0,0,0
1.0,110,0,0,0
1.05,89,0,0,0
1.1,92,0,0,0
1.15,91,0,0,0
1.2,98,0,0,0
1.25,112,0,0,0
1.3,114,0,0,0
1.35,95,0,0,0
1.4,85,0,0,0
1.45,85,0,0,0
1.5,103,0,0,0
1.55,113,0,0,0
1.6,109,0,0,0
1.65,102,0,0,0
1.7,98,0,0,0
1.75,85,0,0,0
1.8,96,0,0,0
1.85,100,0,0,0
1.9,102,0,0,0
1.95,88,0,0,0
2.0,78,0,0,0
2.05,109,0,0,0
2.1,91,0,0,0
2.15,103,0,0,0
2.2,99,0,0,0
2.25,116,0,0,0
2.3,103,0,0,0
2.35,101,0,0,0
2.4,102,0,0,0
2.45,88,0,0,0
2.5,80,0,0,0
2.55,108,0,0,0
2.6,89,0,0,0
2.65,93,0,0,0
2.7,105,0,0,0
2.75,119,0,0,0
2.8,112,0,0,0
2.85,111,0,0,0
2.9,103,0,0,0
2.95,87,0,0,2
3.0,110,31,239,1604
3.05,108,30,71,238
3.1,104,79,179,832
3.15,95,159,397,729
3.2,95,35,341,1327
3.25,101,0,256,2905
3.3,100,74,245,724
3.35,77,136,320,1056
3.4,131,68,212,223
3.45,93,99,504,395
3.5,101,80,448,2331
3.55,95,62,471,1285
3.6,97,76,204,107
3.65,89,102,321,3301
3.7,99,14,511,1937
3.75,102,59,525,1201
3.8,102,118,807,1627
3.85,84,205,773,1089
3.9,91,401,1379,2798
3.95,86,604,1871,11640
4.0,109,869,2544,44655
4.05,99,1461,2985,429
4.1,117,2841,4315,982
4.15,100,3694,5655,150
4.2,102,2998,5768,698
4.25,77,2181,5103,324
4.3,109,1215,5049,952
4.35,92,706,3271,1130
4.4,87,322,2490,1653
4.45,111,308,1224,831
4.5,99,137,1787,1719
4.55,96,29,1259,1386
4.6,106,124,2007,390
4.65,95,269,2978,2084
4.7,110,114,2384,1110
4.75,95,361,1594,414
4.8,102,251,523,0
4.85,80,685,1056,1162
4.9,80,1239,887,1705
4.95,93,2354,594,243
5.0,114,3248,156,1
5.05,98,5799,734,631
5.1,92,4932,838,0
5.15,88,6382,589,0
5.2,92,8805,318,0
5.25,103,9732,509,0
5.3,104,7630,845,0
5.35,88,7579,739,0
5.4,126,5865,573,0
5.45,102,4469,385,0
5.5,96,3182,88,0
5.55,103,1767,437,0
5.6,98,1497,473,0
5.65,86,1156,150,0
5.7,106,791,588,0
5.75,94,616,1095,0
5.8,102,280,1007,0
5.85,100,250,1605,0
5.9,113,334,2112,0
5.95,95,234,1940,0
6.0,90,48,2465,0
6.05,93,66,1016,0
6.1,124,60,676,0
6.15,107,171,207,0
6.2,96,108,795,0
6.25,99,214,235,0
6.3,107,19,736,0
6.35,85,33,111,0
6.4,101,60,104,0
6.45,113,76,470,0
6.5,108,7,101,0
6.55,100,0,245,0
6.6,100,0,351,0
6.65,126,0,450,0
6.7,105,0,236,0
6.75,106,0,10,0
6.8,95,0,105,0
6.85,87,0,497,0
6.9,122,0,43,0
6.95,102,0,314,0
7.0,111,0,153,0
7.05,106,0,189,0
7.1,96,0,297,0
7.15,101,0,252,0
7.2,103,0,451,0
7.25,87,0,703,0
7.3,94,0,1191,0
7.35,101,0,783,0
7.4,113,0,425,0
7.45,91,0,377,0
7.5,95,0,1029,0
7.55,110,0,426,0
7.6,93,0,333,0
7.65,94,0,1237,0
7.7,87,0,793,0
7.75,87,0,443,0
7.8,94,0,232,0
7.85,100,0,230,0
7.9,118,0,134,0
7.95,98,0,427,0
8.0,108,0,148,0
8.05,106,0,81,0
8.1,103,0,321,0
8.15,107,0,162,0
8.2,115,0,337,0
8.25,102,0,185,0
8.3,105,0,249,0
8.35,103,0,66,0
8.4,99,0,106,0
8.45,92,0,82,0
8.5,114,0,190,0
8.55,94,0,73,0
8.6,101,0,0,0
8.65,94,0,0,0
8.7,107,0,0,0
8.75,113,0,0,0
8.8,97,0,0,0
8.85,102,0,0,0
8.9,102,0,0,0
8.95,88,0,0,0
9.0,102,0,0,0
9.05,102,0,0,0
9.1,82,0,0,0
9.15,120,0,0,0
9.2,111,0,0,0
9.25,92,0,0,0
9.3,100,0,0,0
9.35,98,0,0,0
9.4,100,0,0,0
9.45,105,0,0,0
9.5,104,0,0,0
9.55,102,0,0,0
9.6,107,0,0,0
9.65,117,0,0,0
9.7,99,0,0,0
9.75,95,0,0,0
9.8,87,0,0,0
9.85,108,0,0,0
9.9,99,0,0,0
9.95,84,0,0,0
10.0,108,0,0,0
10.05,84,0,0,0
10.1,121,0,0,0
10.15,101,0,0,0
10.2,88,0,0,0
10.25,96,0,0,0
10.3,102,0,0,0
10.35,107,0,0,0
10.4,96,0,0,0
10.45,114,0,0,0
10.5,114,0,0,0
10.55,104,0,0,0
10.6,104,0,0,0
10.65,107,0,0,0
10.7,109,0,0,0
10.75,78,0,0,0
10.8,98,0,0,0
10.85,92,0,0,0
10.9,100,0,0,0
10.95,97,0,0,0
11.0,102,0,0,0
11.05,97,0,0,0
11.1,99,0,0,0
11.15,111,0,0,0
11.2,113,0,0,0
11.25,110,0,0,0
11.3,99,0,0,0
11.35,114,0,0,0
11.4,91,0,0,0
11.45,94,0,0,0
11.5,94,0,0,0
11.55,88,0,0,0
11.6,92,0,0,0
11.65,90,0,0,0
11.7,86,0,0,0
11.75,114,0,0,0
11.8,101,0,0,0
11.85,115,0,0,0
11.9,81,0,0,0
11.95,88,0,0,0
